place_name,place_id,description,category,sub_category,address,latitude,longitude,url,store_hours,menu,min_price,max_price,avg_price,all_prices,source,visiter_review_count,blog_review_count,all_review_count,like,dislike
카페제니엘 주문진점,1543529590,맛있는 디저트와 아름다운 경치 조화,카페,"카페,디저트",강원 강릉시 주문진읍 해안로 1822 2층,37.8943579648713,128.833885737736,https://m.place.naver.com/restaurant/1543529590/review/visitor?entry=ple&reviewSort=recent,"[""금: 10:30 - 20:00"", ""토: 10:30 - 20:00"", ""일: 10:30 - 20:00"", ""월: 10:30 - 20:00"", ""화: 10:30 - 20:00"", ""수: 10:30 - 20:00"", ""목: 10:30 - 20:00""]","[""대표 푸바냥 푸딩 바나나맛 푸딩에 수제 크림 캐러멜 소스로 만나보는 귀여운 푸냥이 푸딩젤리입니다. 6,000 원"", ""밀키냥 푸딩 부드러운 우유 푸딩에 수제 베리 콤포트로 만나보는 귀여운 푸냥이 푸딩젤리입니다. 6,000 원"", ""제니엘 블루 에이드 제니엘 레몬에이드와 솜사탕의 조화로 푸른 바다를 연상케하는 시그니처 에이드 10,000 원"", ""아메리카노 hot 스페셜티 등급의 원두가 조화롭게 블렌딩된 아메리카노입니다. 6,000 원"", ""수제 바닐라빈 라떼 hot 마다가스카르산 바닐라 빈을 직접 끓여 만든 바닐라빈 라떼입니다. 7,500 원"", ""카페라떼 hot 진한 에스프레소에 신선한 우유가 더해져 부드러운 맛을 자랑하는 카페라떼입니다. 6,500 원"", ""수제 레몬차 hot 제니엘만의 고급스런 수제레몬차 메뉴입니다. 8,500 원"", ""건강 쌍화차 14,000 원"", ""쫀득쿠키 9,000 원"", ""카페모카 hot 제니엘만의 고급 블렌딩 원두로 만나는 카페모카입니다. 7,000 원"", ""카푸치노 hot 제니엘만의 고급 블렌딩 원두로 만나는 카푸치노입니다. 7,000 원"", ""솔티드 카라멜 마끼아또 hot 풍성한 우유 거품과 달콤한 카라멜 시럽이 더해져 단짠단짠의 조화를 자랑하는 음료입니다. 7,500 원"", ""수제 밀크티 hot 고급 얼그레이와 수제 시럽을 냉침하여 만든 수제 밀크티입니다. 8,500 원"", ""초코라떼 hot 진한 초콜릿과 우유를 섞어 마시멜로, 스틱초코로 달콤하게 마무리한 초코라떼입니다. 7,500 원"", ""말차라떼 hot 순수 제주 말차를 사용하여 우유와 블렌딩한 부드러운 말차라떼입니다. 8,000 원""]",6000,14000,7933,"[6000, 6000, 10000, 6000, 7500, 6500, 8500, 14000, 9000, 7000, 7000, 7500, 8500, 7500, 8000]",Naver,5182,203,5385,"[""Scenic view"", ""Diverse menu"", ""Delicious desserts"", ""Friendly staff"", ""Clean interior""]","[""Disappointing drinks"", ""Coffee acidity"", ""High prices""]"
어게인디엠카페,1195126769,달지 않아 더 좋은 팥빙수의 풍미,카페,"카페,디저트",강원 강릉시 강동면 정동등명길 21 어게인디엠카페,37.7037914016219,129.015922989684,https://m.place.naver.com/restaurant/1195126769/review/visitor?entry=ple&reviewSort=recent,"[""금: 10:00 - 20:00"", ""토: 10:00 - 20:00"", ""일: 10:00 - 20:00"", ""월: 10:00 - 20:00"", ""화: 10:00 - 20:00"", ""수: 휴무"", ""목: 10:00 - 20:00""]","[""팥빙수 12,000 원"", ""쑥붕어떡 쑥붕어떡와플 바닐라젤라또 9,000 원"", ""ADM슈페너 오트밀크 에스프레소 토피넛크림 6,000 원"", ""ADM블루솔트라떼 블루밀크 에스프레소 토피넛크림 6,000 원"", ""ADM레몬셔벗커피 레몬셔벗 에스프레소 6,000 원"", ""미니붕어빵(6마리) 팥붕어빵 슈크림붕어빵 4,000 원""]",6000,12000,7800,"[12000, 9000, 6000, 6000, 6000, 4000]",Naver,1134,82,1216,"[""Unique coffee"", ""Spacious environment"", ""Clean and comfortable"", ""Scenic views"", ""Delicious desserts""]","[""Limited seating""]"
카페초이,1606960077,다양한 맛으로 즐기는 소금빵의 매력,카페,"카페,디저트",강원 강릉시 임영로155번길 11-2 1층 . 2층,37.7546090349381,128.890512571743,https://m.place.naver.com/restaurant/1606960077/review/visitor?entry=ple&reviewSort=recent,"[""금: 10:30 - 19:30"", ""토: 10:30 - 19:30"", ""일: 10:30 - 19:30"", ""월: 10:30 - 19:30"", ""화: 10:30 - 19:30"", ""수: 10:30 - 19:30"", ""목: 10:30 - 19:30""]","[""대표 두바이쫀득쿠키 4,500 원"", ""대표 초당옥수수크림소금빵 강릉초당옥수수크림소금빵 강릉감자크림소금빵은 이렇게 크림을 찍어먹는 형태로 준비됩니다 5,800 원"", ""대표 강릉감자라떼 커피가 들어가게 안 들어가게 선택 가능해요! 6,000 원"", ""대표 소금빵 라인업은 매일 달라집니다! 3,500 원"", ""대표 벽돌케이크 터키 벽돌케이크 꾸덕꾸덕바삭달달 끝판왕 HOT 9,900 원"", ""대표 잠봉뵈르 소금빵 염지부터 수비드까지 모든과정을 직접하여 만든 녹돈잠봉과 트러플소스까지 환상 6,900 원"", ""대표 마늘크림치즈소금빵 의성마늘로 만든 소스와 끼리크림치즈가 가득 들어가 풍미와 녹진함 바삭함까지 5,100 원"", ""대표 명란마요소금빵 4,900 원"", ""대표 소금빵선물세트 플레인소금빵 6개가 선물박스에 들어갑니다! 24,200 원"", ""황치즈생크림소금빵 5,500 원""]",5100,24200,9057,"[4500, 5800, 6000, 3500, 9900, 6900, 5100, 4900, 24200, 5500]",Naver,861,178,1039,"[""Delicious food"", ""Variety of options"", ""Friendly staff"", ""Pleasant atmosphere"", ""Clean interior""]",[]
에이엠브레드앤커피,34203501,힐링이 되는 바다 뷰 카페의 매력,카페,베이커리,강원 강릉시 창해로14번길 24,37.7723260936684,128.947533643252,https://m.place.naver.com/restaurant/34203501/review/visitor?entry=ple&reviewSort=recent,"[""금: 09:00 - 22:30"", ""토: 09:00 - 22:30"", ""일: 09:00 - 22:00"", ""월: 09:00 - 21:00"", ""화: 09:00 - 21:00"", ""수: 09:00 - 21:00"", ""목: 09:00 - 21:00""]","[""썬라이즈(오렌지 커피) 6,800 원"", ""콜드브루 6,800 원"", ""말차슈페너 6,800 원"", ""아메리카노 5,500 원"", ""헤즐넛 6,000 원"", ""카페라떼 6,000 원"", ""바닐라라떼 6,500 원"", ""헤즐넛라떼 6,500 원"", ""카푸치노 6,000 원"", ""카라멜마끼아또 6,500 원"", ""크림모카 6,800 원"", ""아인슈페너 6,800 원"", ""초코라떼 6,000 원"", ""딸기라떼 6,800 원"", ""허브티 6,500 원""]",5500,6800,6420,"[6800, 6800, 6800, 5500, 6000, 6000, 6500, 6500, 6000, 6500, 6800, 6800, 6000, 6800, 6500]",Naver,5855,2870,8725,"[""Delicious food"", ""Variety of options"", ""Great view"", ""Pleasant atmosphere"", ""Friendly staff""]",[]
강릉빵다방,66343890,강릉 여행에 빠질 수 없는 필수 코스,카페,베이커리,강원 강릉시 남강초교1길 24 강릉빵다방,37.7690063542669,128.918115706625,https://m.place.naver.com/restaurant/66343890/review/visitor?entry=ple&reviewSort=recent,"[""금: 12:00 - 19:00"", ""토: 12:00 - 19:00"", ""일: 12:00 - 19:00"", ""월: 휴무"", ""화: 12:00 - 19:00"", ""수: 12:00 - 19:00"", ""목: 12:00 - 19:00""]","[""대머리독수리 4,500 원"", ""녹차크림빵 4,300 원"", ""블랙버거 5,000 원"", ""인절미크림빵 4,300 원"", ""인절미라떼 6,000 원""]",5000,6000,5500,"[4500, 4300, 5000, 4300, 6000]",Naver,4433,2225,6658,"[""Delicious food"", ""Friendly service"", ""Variety of bread"", ""Comfortable seating"", ""Balanced flavors""]","[""Long wait"", ""Unavailable items"", ""Slow service""]"
강릉샌드 본점,2051244903,,카페,"카페,디저트",강원 강릉시 성곡고양길5번안길 31 1층~3층,37.7775250634818,128.890082360635,https://m.place.naver.com/restaurant/2051244903/review/visitor?entry=ple&reviewSort=recent,"[""월: 09:00 - 20:00"", ""화: 09:00 - 20:00"", ""수: 09:00 - 20:00"", ""목: 09:00 - 20:00"", ""금: 09:00 - 20:00"", ""토: 09:00 - 20:00"", ""일: 09:00 - 20:00""]","[""대표 강릉샌드 - 커피 16,000 원"", ""나에게로 딸기라떼 5,500 원"", ""너에게로 곶감라떼 5,500 원"", ""강릉 방파제빵 10,000 원"", ""강릉샌드 - 딸기 17,000 원"", ""강릉샌드 - 흑임자 17,000 원"", ""강릉샌드 - 초당옥수수 17,000 원"", ""강릉샌드 - 곶감 17,000 원""]",5500,17000,13125,"[16000, 5500, 5500, 10000, 17000, 17000, 17000, 17000]",Naver,246,186,432,"[""Unique menu"", ""Pleasant atmosphere"", ""Beautiful design"", ""Rich flavor"", ""Convenient gifting""]",[]
카페제니엘 주문진점,1543529590,맛있는 디저트와 아름다운 경치 조화,카페,"카페,디저트",강원 강릉시 주문진읍 해안로 1822 2층,37.8943579648713,128.833885737736,https://m.place.naver.com/restaurant/1543529590/review/visitor?entry=ple&reviewSort=recent,"[""금: 10:30 - 20:00"", ""토: 10:30 - 20:00"", ""일: 10:30 - 20:00"", ""월: 10:30 - 20:00"", ""화: 10:30 - 20:00"", ""수: 10:30 - 20:00"", ""목: 10:30 - 20:00""]","[""대표 푸바냥 푸딩 바나나맛 푸딩에 수제 크림 캐러멜 소스로 만나보는 귀여운 푸냥이 푸딩젤리입니다. 6,000 원"", ""밀키냥 푸딩 부드러운 우유 푸딩에 수제 베리 콤포트로 만나보는 귀여운 푸냥이 푸딩젤리입니다. 6,000 원"", ""제니엘 블루 에이드 제니엘 레몬에이드와 솜사탕의 조화로 푸른 바다를 연상케하는 시그니처 에이드 10,000 원"", ""아메리카노 hot 스페셜티 등급의 원두가 조화롭게 블렌딩된 아메리카노입니다. 6,000 원"", ""수제 바닐라빈 라떼 hot 마다가스카르산 바닐라 빈을 직접 끓여 만든 바닐라빈 라떼입니다. 7,500 원"", ""카페라떼 hot 진한 에스프레소에 신선한 우유가 더해져 부드러운 맛을 자랑하는 카페라떼입니다. 6,500 원"", ""수제 레몬차 hot 제니엘만의 고급스런 수제레몬차 메뉴입니다. 8,500 원"", ""건강 쌍화차 14,000 원"", ""쫀득쿠키 9,000 원"", ""카페모카 hot 제니엘만의 고급 블렌딩 원두로 만나는 카페모카입니다. 7,000 원"", ""카푸치노 hot 제니엘만의 고급 블렌딩 원두로 만나는 카푸치노입니다. 7,000 원"", ""솔티드 카라멜 마끼아또 hot 풍성한 우유 거품과 달콤한 카라멜 시럽이 더해져 단짠단짠의 조화를 자랑하는 음료입니다. 7,500 원"", ""수제 밀크티 hot 고급 얼그레이와 수제 시럽을 냉침하여 만든 수제 밀크티입니다. 8,500 원"", ""초코라떼 hot 진한 초콜릿과 우유를 섞어 마시멜로, 스틱초코로 달콤하게 마무리한 초코라떼입니다. 7,500 원"", ""말차라떼 hot 순수 제주 말차를 사용하여 우유와 블렌딩한 부드러운 말차라떼입니다. 8,000 원""]",6000,14000,7933,"[6000, 6000, 10000, 6000, 7500, 6500, 8500, 14000, 9000, 7000, 7000, 7500, 8500, 7500, 8000]",Naver,5182,203,5385,"[""Scenic view"", ""Diverse menu"", ""Delicious desserts"", ""Friendly staff"", ""Clean interior""]","[""Disappointing drinks"", ""Coffee acidity"", ""High prices""]"
정남미명과 강릉본점,1220981140,강릉에서만 맛볼 수 있는 특별한 빵집,카페,"카페,디저트",강원 강릉시 경강로 2668 1층 정남미명과,37.7706090842219,128.950262820119,https://m.place.naver.com/restaurant/1220981140/review/visitor?entry=ple&reviewSort=recent,"[""금: 11:30 - 19:00"", ""토: 11:00 - 19:00"", ""일: 11:00 - 19:00"", ""월: 11:30 - 19:00"", ""화: 11:30 - 19:00"", ""수: 11:30 - 19:00"", ""목: 11:30 - 19:00""]","[""대표 구황작물빵 10개입 세트 (1번) 감자, 고구마, 옥수수, 밤, 호박, 대파, 양파, 마늘, 단감, 고추 1개씩 총 10개입 34,400 원"", ""대표 구황작물빵 10개입 세트 (2번) 감자, 고구마, 옥수수, 밤, 호박 2개씩 총 10개입 33,800 원"", ""구황작물빵 8개입 세트 (3번) 감자, 고구마, 옥수수, 밤, 호박, 양파, 대파, 마늘 1개씩 총 8개입 30,800 원"", ""구황작물빵 7개입 세트 (4번) 감자, 고구마, 옥수수, 밤빵, 호박, 단감, 고추 1개씩 총 7개입 27,000 원"", ""구황작물빵 5개입 세트 (5번) 감자, 고구마, 옥수수, 밤, 호박 1개씩 총 5개입 19,400 원"", ""구황작물빵 5개입 세트 (6번) 대파, 양파, 마늘, 단감, 고추 1개씩 총 5개입 20,000 원""]",19400,34400,27566,"[34400, 33800, 30800, 27000, 19400, 20000]",Naver,2535,392,2927,"[""Variety of options"", ""Unique presentation"", ""Delicious taste"", ""Friendly staff"", ""Cozy atmosphere""]","[""Limited availability"", ""Limited seating"", ""Poor coffee taste""]"
글루크,2031533892,넓은 창으로 들어오는 여유로운 햇살,카페,"카페,디저트",강원 강릉시 경강로2046번길 14 2층,37.7505423158771,128.893157607973,https://m.place.naver.com/restaurant/2031533892/review/visitor?entry=ple&reviewSort=recent,"[""금: 10:00 - 19:30"", ""토: 10:00 - 19:30"", ""일: 10:00 - 19:30"", ""월: 10:00 - 19:30"", ""화: 10:00 - 19:30"", ""수: 휴무"", ""목: 10:00 - 19:30""]","[""대표 글루크 커피 말차크림커피 6,000 원"", ""대표 행운커피 크림커피 6,000 원"", ""대표 글루크 코말 말차+코코넛 6,000 원"", ""캐모마일 릴렉서 캐모마일과 리치베이스 5,500 원"", ""체다치즈 프렌치 토스트 8,000 원"", ""프렌치 토스트 7,500 원"", ""티라미수 주문시 바로 만들어서 미지근한 디저트입니다. (차가운 디저트가 아닙니다☺️) 6,000 원"", ""르뱅쿠키 견과류와 초코칩🍪 4,500 원"", ""얼그레이 가또 쇼콜라 6,500 원"", ""헤이즐넛 초콜릿 6,500 원"", ""프렌치 초코 스퀘어 초코크림과 커피버터크림 6,500 원""]",5500,8000,6450,"[6000, 6000, 6000, 5500, 8000, 7500, 6000, 4500, 6500, 6500, 6500]",Naver,401,31,432,"[""Delicious food"", ""Refreshing drinks"", ""Pleasant atmosphere"", ""Unique presentation"", ""Friendly service""]","[""Limited coffee options""]"
카페 툇마루,998885728,달콤고소한 흑임자라떼의 유혹,카페,"카페,디저트",강원 강릉시 난설헌로 232 카페 툇마루,37.7928528841489,128.914530597286,https://m.place.naver.com/restaurant/998885728/review/visitor?entry=ple&reviewSort=recent,"[""금: 11:00 - 19:00"", ""토: 11:00 - 19:00"", ""일: 11:00 - 19:00"", ""월: 휴무"", ""화: 11:00 - 19:00"", ""수: 11:00 - 19:00"", ""목: 11:00 - 19:00""]","[""대표 툇마루커피 6,500 원"", ""밤 슈 4,400 원"", ""옥수수 슈 4,700 원"", ""카푸치노 슈 4,200 원"", ""흑임자 쿠키 3,300 원"", ""현미 누룽지 쿠키 3,300 원"", ""갈레트 초당 (호떡) 5,200 원"", ""갈레트 초당 (단호박) 5,200 원"", ""에스프레소 5,000 원"", ""아메리카노 5,000 원"", ""플랫화이트 5,500 원"", ""카푸치노 5,500 원"", ""라떼 5,800 원"", ""바닐라라떼 6,300 원"", ""티에이드(자몽/레몬/청사과) 5,800 원""]",5000,6500,5580,"[6500, 4400, 4700, 4200, 3300, 3300, 5200, 5200, 5000, 5000, 5500, 5500, 5800, 6300, 5800]",Naver,7704,8491,16195,"[""Delicious coffee"", ""Unique flavors"", ""Aesthetic interior"", ""Spacious seating"", ""Affordable price""]","[""Overcrowded"", ""Long wait"", ""Price increase""]"
