id,name,address,lat,lng,description,category,sub_category,source,url,rating,review_count,like,dislike,checkin_time,checkout_time,offpeak_weekday_price_max,offpeak_weekday_price_min,offpeak_weekday_price_avg,offpeak_weekend_price_max,offpeak_weekend_price_min,offpeak_weekend_price_avg,peak_weekday_price_max,peak_weekday_price_min,peak_weekday_price_avg,peak_weekend_price_max,peak_weekend_price_min,peak_weekend_price_avg
10048841,강릉 브라운도트 강릉역점,강원도 강릉시 동부시장길 14,37.75914833,128.9004931,,Accommodation,모텔,Yanolja,https://nol.yanolja.com/stay/domestic/10048841,4.8,884.0,Cleanliness; Friendly service; Comfortable rooms; Breakfast quality; Convenient amenities,Slipper safety,16:00,12:00,290000,55000,132052,290000,125000,221263,290000,130000,225210,290000,130000,227842
3000446,강릉 라벨르호텔 프리미어 강릉역점,강원도 강릉시 중기2길 14 (옥천동),37.76262064,128.9017707,,Accommodation,모텔,Yanolja,https://nol.yanolja.com/stay/domestic/3000446,4.9,84.0,Cleanliness; Comfortable amenities; Spacious rooms; Friendly service; Affordable rates,,16:00,11:00,115000,55000,80000,195000,105000,133333,197000,117000,144142,200000,120000,145000
24503,강릉 피크닉,강원도 강릉시 홍제로85번길 24(홍제동),37.75390226,128.8813941,,Accommodation,모텔,Yanolja,https://nol.yanolja.com/stay/domestic/24503,4.8,1063.0,Cleanliness; Comfortable room; Good facilities; Friendly service; Value for money,Eerie atmosphere; Bathroom transparency; Weak water pressure,15:00,11:00,60000,35000,46000,100000,70000,85000,120000,85000,99000,150000,85000,109000
3013417,강릉 세인트존스호텔,강원도 강릉시 창해로 307,37.79128002,128.9209319,,Accommodation,프리미엄 호텔,Yanolja,https://nol.yanolja.com/stay/domestic/3013417,4.7,11912.0,Room quality; Friendly staff; Affordable price; Good facilities; Proximity to beach,Limited amenities; Noise; Small room size; Inadequate service information; Limited parking,16:00,11:00,473000,165400,237336,605000,200000,283281,605000,200000,355527,704000,200000,426104
10060838,강릉 지브펜션,강원특별자치도 강릉시 주문진읍 해안로 1935,37.90237171,128.8293575,,Accommodation,펜션,Yanolja,https://nol.yanolja.com/stay/domestic/10060838,4.9,76.0,Cleanliness; Ocean view; Comfort; Friendly service; Proximity to beach,No toothbrush; Room humidity; Small room,15:00,11:00,220000,150000,183500,300000,230000,263500,220000,150000,183500,300000,230000,263500
10063201,강릉 호텔벗,강원특별자치도 강릉시 강동면 율곡로 1386-2,37.70332742,129.0149566,,Accommodation,펜션,Yanolja,https://nol.yanolja.com/stay/domestic/10063201,4.8,74.0,Friendly service; Cleanliness; Beautiful decor; Convenient facilities; Comfortable bedding,Bright light; Unresponsive service,15:00,11:00,216000,56000,121692,350000,156000,235384,350000,156000,237846,350000,156000,236923
10040724,강릉 썬리치펜션,강원도 강릉시 주문진읍 해안로 1895,37.9001358,128.8328566,,Accommodation,펜션,Yanolja,https://nol.yanolja.com/stay/domestic/10040724,5.0,581.0,Friendly service; Scenic view; Cleanliness; Comfortable amenities; Pet-friendly,Poor barbecue quality; No balcony,15:00,11:00,200000,105000,128461,305000,205000,231923,305000,205000,231923,305000,205000,231923
3009363,강릉 루이스호텔,강원도 강릉시 옥가로50번길 11-1,37.76061081,128.9012769,,Accommodation,모텔,Yanolja,https://nol.yanolja.com/stay/domestic/3009363,4.8,2446.0,Friendly service; Cleanliness; Comfortable bed; Modern facilities; Thoughtful amenities,High price,16:00,12:00,99000,44000,67818,162000,102000,130000,207000,117000,155636,250000,104000,144000
3016454,호텔하운드 강릉경포,강원도 강릉시 창해로 229,37.78673943,128.9277927,,Accommodation,호텔,Yanolja,https://nol.yanolja.com/stay/domestic/3016454,4.7,451.0,Comfortable bedding; Friendly staff; Ocean view; Tasty breakfast; Stylish decor,Limited amenities; Bathroom warnings,16:00,11:00,227000,91000,126500,395000,165000,226916,304000,127000,173500,474000,235000,302666
3006187,강릉 스테이바다펜션,강원도 강릉시 해안로 659-1,37.81477438,128.8945586,,Accommodation,펜션,Yanolja,https://nol.yanolja.com/stay/domestic/3006187,4.8,1091.0,Friendly service; Cleanliness; Comfortable bedding; Scenic view; Convenient amenities,Hot loft temperature,15:00,11:00,119000,59000,100666,259000,149000,227333,159000,79000,134706,279000,149000,234321
