user_id,companion,travel_style,budget,duration_days,like_keywords,dislike_keywords,crowd_tolerance,age,gender,start_date
U0001,friends,Healing,2200000,3,"['Convenient amenities', 'Attentive staff', 'Quiet atmosphere']","['Insect presence', 'Lack of privacy']",0.53,19,Male,2025-08-16
U0002,friends,Foodie,2000000,3,"['Well-maintained facilities', 'Fresh seafood', 'Delicious food']","['Small room size', 'High price']",0.51,21,Female,2025-10-07
U0003,couple,Activity,2800000,3,"['Clean room', 'Authentic taste', 'Good value']","['Small portions', 'Outdated facilities']",0.45,36,Both,2025-02-18
U0004,solo,Healing,700000,1,"['Tasty food', 'Tender meat', 'Large portions']","['Limited options', 'Lack of privacy']",0.61,56,Female,2025-01-24
U0005,friends,Foodie,800000,1,"['Satisfying portions', 'Friendly service', 'Cleanliness']","['Salty food', 'Overpriced']",0.27,27,Female,2025-05-18
U0006,couple,Healing,1000000,2,"['Quiet atmosphere', 'Large portions', 'Tender meat']","['Poor food quality', 'Weak water pressure']",0.86,53,Both,2025-04-21
U0007,couple,Healing,200000,2,"['Friendly service', 'Spicy flavor', 'Beautiful view']","['Cramped space', 'Salty food']",0.18,18,Both,2025-01-09
U0008,couple,Activity,400000,2,"['Large portions', 'Fresh seafood', 'Tasty food']","['Small portions', 'Long wait']",0.19,47,Both,2025-10-22
U0009,solo,Healing,1700000,2,"['Authentic taste', 'Clean facilities', 'Fresh seafood']","['Unpleasant taste', 'Limited amenities']",0.86,40,Female,2025-11-10
U0010,friends,Cultural,700000,3,"['Pleasant atmosphere', 'Clean room', 'Delicious coffee']","['Insect presence', 'Limited menu']",0.36,24,Female,2025-02-18
U0011,friends,Cultural,400000,2,"['Fresh seafood', 'Clean room', 'Delicious coffee']","['Weak water pressure', 'Unpleasant taste']",0.89,60,Male,2025-08-28
U0012,friends,Activity,1200000,5,"['Affordable prices', 'Friendly service', 'Cleanliness']","['Cramped space', 'Lack of privacy']",0.15,41,Female,2025-11-15
U0013,friends,Cultural,1500000,2,"['Tasty food', 'Well-maintained facilities', 'Attentive staff']","['Slow service', 'Insect presence']",0.15,63,Female,2025-05-30
U0014,friends,Activity,500000,1,"['Beautiful view', 'Good value', 'Quiet atmosphere']","['Weak water pressure', 'Unpleasant taste']",0.18,47,Female,2025-10-25
U0015,couple,Cultural,300000,3,"['Affordable prices', 'Family-friendly', 'Delicious coffee']","['Bland taste', 'Insect presence']",0.08,19,Both,2025-01-08
U0016,solo,Foodie,400000,2,"['Tasty food', 'Quick service', 'Authentic taste']","['Unpleasant taste', 'High price']",0.5,52,Female,2025-10-21
U0017,couple,Cultural,1400000,3,"['Ocean view', 'Friendly service', 'Delicious food']","['High price', 'Unfriendly staff']",0.91,21,Both,2025-02-19
U0018,solo,Foodie,300000,2,"['Affordable prices', 'Spicy flavor', 'Large portions']","['Limited options', 'Unfriendly staff']",0.52,28,Female,2025-07-17
U0019,solo,Foodie,700000,2,"['Well-maintained facilities', 'Delicious coffee', 'Attentive staff']","['Outdated facilities', 'Overpriced']",0.44,39,Male,2025-07-26
U0020,friends,Foodie,500000,5,"['Family-friendly', 'Tender meat', 'Clean facilities']","['Limited menu', 'Poor value']",0.25,25,Male,2025-10-15
U0021,solo,Healing,200000,1,"['Friendly service', 'Convenient amenities', 'Quiet atmosphere']","['Lack of privacy', 'Unfriendly staff']",0.2,34,Female,2025-07-29
U0022,friends,Healing,900000,5,"['Cleanliness', 'Good value', 'Beautiful view']","['Weak water pressure', 'Poor food quality']",0.64,40,Female,2025-12-22
U0023,friends,Foodie,500000,1,"['Good value', 'Friendly service', 'Family-friendly']","['Limited menu', 'Bland taste']",0.2,44,Female,2025-06-03
U0024,friends,Healing,600000,3,"['Tender meat', 'Quiet atmosphere', 'Variety of dishes']","['Weak water pressure', 'Poor value']",0.48,29,Female,2025-09-27
U0025,solo,Activity,300000,1,"['Generous portions', 'Clean room', 'Convenient amenities']","['Noise', 'Unpleasant taste']",0.87,52,Female,2025-12-16
U0026,friends,Cultural,500000,2,"['Generous portions', 'Family-friendly', 'Authentic taste']","['High price', 'Bland taste']",0.25,57,Male,2025-11-08
U0027,friends,Cultural,700000,3,"['Variety of dishes', 'Generous portions', 'Convenient amenities']","['Insect presence', 'Small room size']",0.13,60,Female,2025-12-29
U0028,friends,Foodie,3200000,5,"['Attentive staff', 'Clean room', 'Delicious coffee']","['Poor soundproofing', 'Poor cleanliness']",0.88,58,Female,2025-01-19
U0029,friends,Activity,800000,3,"['Satisfying portions', 'Scenic views', 'Good value']","['Poor cleanliness', 'Bland taste']",0.53,57,Male,2025-09-27
U0030,couple,Activity,800000,2,"['Pleasant atmosphere', 'Tasty food', 'Affordable prices']","['Poor food quality', 'Long wait']",0.82,37,Both,2025-09-27
U0031,friends,Cultural,600000,5,"['Scenic views', 'Tender meat', 'Large portions']","['Bland taste', 'Outdated facilities']",0.34,55,Male,2025-10-09
U0032,couple,Healing,300000,2,"['Convenient amenities', 'High-quality meat', 'Quiet atmosphere']","['Long wait', 'Poor cleanliness']",0.29,51,Both,2025-03-23
U0033,friends,Cultural,300000,2,"['Fresh seafood', 'Generous portions', 'Convenient amenities']","['Limited amenities', 'Slow service']",0.57,30,Male,2025-11-15
U0034,solo,Healing,400000,3,"['Scenic views', 'Cleanliness', 'Comfortable bedding']","['Poor cleanliness', 'Long wait']",0.8,53,Male,2025-04-11
U0035,solo,Cultural,1800000,2,"['Quick service', 'Ocean view', 'Convenient amenities']","['Lack of privacy', 'Small room size']",0.33,20,Female,2025-06-25
U0036,solo,Activity,1600000,2,"['Quick service', 'Quiet atmosphere', 'Ocean view']","['Limited amenities', 'Salty food']",0.01,31,Female,2025-08-25
U0037,friends,Activity,800000,2,"['Good value', 'Quiet atmosphere', 'Fresh seafood']","['Unfriendly staff', 'Salty food']",0.5,62,Female,2025-02-23
U0038,solo,Healing,500000,2,"['Good value', 'Clean room', 'High-quality meat']","['Limited menu', 'Limited amenities']",0.12,30,Female,2025-09-03
U0039,solo,Cultural,400000,1,"['Delicious food', 'Comfortable bedding', 'Scenic views']","['Long wait', 'Weak water pressure']",0.94,25,Male,2025-08-11
U0040,solo,Foodie,100000,1,"['Well-maintained facilities', 'Large portions', 'Tasty food']","['Long wait', 'Limited amenities']",0.97,37,Male,2025-11-27
U0041,friends,Foodie,300000,3,"['Clean facilities', 'Good value', 'Ocean view']","['Poor cleanliness', 'Limited options']",0.15,35,Female,2025-05-26
U0042,friends,Activity,1000000,5,"['Attentive staff', 'Affordable prices', 'Clean room']","['Poor value', 'Bland taste']",0.99,45,Female,2025-08-11
U0043,couple,Cultural,500000,4,"['Well-maintained facilities', 'Large portions', 'Beautiful view']","['Poor soundproofing', 'Limited amenities']",0.68,49,Both,2025-11-09
U0044,solo,Foodie,400000,2,"['Quick service', 'Convenient amenities', 'Tasty food']","['Poor food quality', 'Salty food']",0.93,51,Female,2025-08-23
U0045,solo,Cultural,700000,3,"['Clean room', 'Beautiful view', 'Fresh seafood']","['Overpriced', 'Unpleasant taste']",0.04,46,Female,2025-01-31
U0046,couple,Healing,1400000,3,"['Beautiful view', 'Convenient amenities', 'Quick service']","['Limited menu', 'Bland taste']",0.78,53,Both,2025-08-27
U0047,solo,Cultural,3500000,4,"['Value for money', 'Spicy flavor', 'Scenic views']","['Poor cleanliness', 'Unfriendly staff']",0.77,23,Male,2025-10-29
U0048,solo,Foodie,200000,2,"['Convenient amenities', 'Value for money', 'Quiet atmosphere']","['Limited menu', 'Small portions']",0.83,54,Male,2025-03-28
U0049,friends,Healing,500000,3,"['Family-friendly', 'Value for money', 'High-quality meat']","['Limited options', 'Weak water pressure']",0.61,64,Male,2025-07-10
U0050,couple,Activity,300000,1,"['Authentic taste', 'Affordable prices', 'High-quality meat']","['Small room size', 'Bland taste']",0.71,37,Both,2025-10-29
U0051,couple,Activity,600000,2,"['Fresh seafood', 'Variety of dishes', 'Generous portions']","['Lack of privacy', 'Cramped space']",0.48,18,Both,2025-05-01
U0052,friends,Foodie,200000,1,"['Variety of dishes', 'Affordable prices', 'Comfortable bedding']","['Noise', 'Cramped space']",0.29,48,Male,2025-07-26
U0053,couple,Activity,500000,2,"['Clean facilities', 'Authentic taste', 'Generous portions']","['Poor cleanliness', 'Small portions']",0.89,64,Both,2025-09-17
U0054,solo,Cultural,200000,2,"['Clean room', 'Authentic taste', 'Comfortable bedding']","['Unfriendly staff', 'Overpriced']",0.86,57,Male,2025-02-21
U0055,couple,Cultural,600000,3,"['Generous portions', 'Tasty food', 'Clean facilities']","['Bland taste', 'Hygiene issues']",0.4,31,Both,2025-06-08
U0056,solo,Cultural,600000,3,"['Authentic taste', 'Delicious food', 'Generous portions']","['High price', 'Insect presence']",0.21,36,Female,2025-04-18
U0057,friends,Cultural,500000,3,"['Tender meat', 'Authentic taste', 'Friendly service']","['Salty food', 'High price']",0.51,26,Female,2025-12-05
U0058,couple,Healing,1000000,2,"['Ocean view', 'Pleasant atmosphere', 'Value for money']","['Unpleasant taste', 'Limited options']",0.59,39,Both,2025-02-25
U0059,couple,Foodie,200000,2,"['High-quality meat', 'Clean facilities', 'Large portions']","['High price', 'Cramped space']",0.36,58,Both,2025-08-06
U0060,friends,Cultural,300000,1,"['Satisfying portions', 'Tasty food', 'Cleanliness']","['Overpriced', 'Small room size']",0.49,21,Male,2025-12-08
U0061,couple,Cultural,400000,2,"['Well-maintained facilities', 'Quick service', 'Clean room']","['Unfriendly staff', 'Poor soundproofing']",0.23,28,Both,2025-11-05
U0062,couple,Healing,1600000,2,"['Attentive staff', 'Convenient amenities', 'Tender meat']","['Weak water pressure', 'Bland taste']",0.52,55,Both,2025-02-21
U0063,couple,Activity,1600000,2,"['Fresh seafood', 'Convenient amenities', 'Delicious coffee']","['Poor value', 'Lack of privacy']",0.21,33,Both,2025-05-21
U0064,solo,Cultural,300000,2,"['Attentive staff', 'Convenient amenities', 'Tasty food']","['Weak water pressure', 'Salty food']",0.17,33,Female,2025-05-31
U0065,couple,Activity,400000,3,"['Convenient amenities', 'Tasty food', 'Satisfying portions']","['Poor value', 'Poor food quality']",0.47,29,Both,2025-05-30
U0066,solo,Foodie,800000,2,"['Spicy flavor', 'Clean facilities', 'Scenic views']","['Insect presence', 'Outdated facilities']",0.78,30,Male,2025-05-24
U0067,couple,Foodie,300000,3,"['Well-maintained facilities', 'Value for money', 'Clean room']","['Poor cleanliness', 'Small room size']",0.99,27,Both,2025-01-12
U0068,couple,Cultural,200000,2,"['Spicy flavor', 'Family-friendly', 'Large portions']","['Poor cleanliness', 'Poor value']",0.99,20,Both,2025-01-31
U0069,solo,Cultural,700000,4,"['Quick service', 'Convenient amenities', 'Affordable prices']","['Cramped space', 'Limited options']",0.96,24,Male,2025-05-31
U0070,solo,Cultural,300000,3,"['Spicy flavor', 'Satisfying portions', 'Pleasant atmosphere']","['Poor value', 'Salty food']",0.19,34,Female,2025-04-25
U0071,solo,Cultural,400000,3,"['High-quality meat', 'Delicious coffee', 'Comfortable bedding']","['Lack of privacy', 'Salty food']",0.7,40,Female,2025-03-21
U0072,friends,Cultural,500000,5,"['Friendly service', 'Authentic taste', 'Scenic views']","['Insect presence', 'Overpriced']",0.65,18,Female,2025-06-19
U0073,solo,Activity,800000,2,"['Well-maintained facilities', 'Authentic taste', 'Generous portions']","['Limited options', 'Lack of privacy']",0.84,47,Male,2025-06-30
U0074,friends,Activity,500000,1,"['Clean room', 'Ocean view', 'Delicious coffee']","['Poor value', 'Limited amenities']",0.92,64,Male,2025-11-28
U0075,solo,Activity,400000,2,"['Pleasant atmosphere', 'Delicious coffee', 'Beautiful view']","['Poor cleanliness', 'Poor soundproofing']",0.99,21,Female,2025-06-04
U0076,friends,Foodie,1300000,2,"['Spicy flavor', 'Well-maintained facilities', 'Tender meat']","['Poor soundproofing', 'Limited amenities']",0.03,25,Male,2025-09-17
U0077,solo,Foodie,2800000,3,"['Affordable prices', 'High-quality meat', 'Clean facilities']","['Slow service', 'High price']",0.82,42,Female,2025-08-20
U0078,couple,Healing,1400000,2,"['Scenic views', 'Attentive staff', 'Cleanliness']","['Poor cleanliness', 'Poor value']",0.81,46,Both,2025-12-12
U0079,friends,Foodie,2300000,3,"['Beautiful view', 'Tender meat', 'Authentic taste']","['Lack of privacy', 'Weak water pressure']",0.2,65,Female,2025-09-18
U0080,friends,Foodie,700000,1,"['Tasty food', 'Ocean view', 'Good value']","['Poor cleanliness', 'Small room size']",0.56,25,Male,2025-01-17
U0081,friends,Cultural,700000,2,"['Pleasant atmosphere', 'Authentic taste', 'Satisfying portions']","['Limited menu', 'Weak water pressure']",0.29,50,Male,2025-08-15
U0082,couple,Healing,1900000,2,"['Tender meat', 'Quick service', 'Satisfying portions']","['Unfriendly staff', 'Limited menu']",0.39,52,Both,2025-11-15
U0083,friends,Activity,900000,1,"['Value for money', 'High-quality meat', 'Well-maintained facilities']","['Slow service', 'Limited options']",0.91,32,Female,2025-10-31
U0084,friends,Cultural,200000,1,"['Clean facilities', 'High-quality meat', 'Attentive staff']","['Small room size', 'Unfriendly staff']",0.91,23,Female,2025-11-23
U0085,friends,Activity,1700000,4,"['Delicious food', 'Attentive staff', 'Tender meat']","['Small room size', 'Slow service']",0.48,45,Male,2025-10-11
U0086,friends,Cultural,500000,2,"['Affordable prices', 'Tender meat', 'Beautiful view']","['Long wait', 'Poor value']",0.39,63,Male,2025-10-19
U0087,solo,Foodie,400000,2,"['Clean facilities', 'High-quality meat', 'Authentic taste']","['Limited menu', 'Small portions']",0.5,20,Male,2025-07-23
